unit_nr,time_cycle,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,RUL,condition
1,1,34.9983,0.84,100.0,-0.8794624677616412,-0.636847417194236,-0.3775971827170528,-0.45381023443893476,-0.7068160597572362,-0.7119496855345911,-0.7239272588420602,0.3001140154554296,-0.4206162100642228,-0.513513513513514,-0.05700325732898914,-0.7263665187064046,0.9847879405847806,-0.04698433855381268,-0.26010544815465764,-1.0,-0.35416666666666696,0.3023255813953494,1.0,-0.6879286694101509,-0.6818357641812102,148,1
1,16,35.0053,0.8419,100.0,-0.8794624677616412,-0.6324433434260026,-0.3570093457943919,-0.5032975497039418,-0.7068160597572362,-0.7119496855345911,-0.7248818672139756,0.3005785228664344,-0.4290220307292092,-0.513513513513514,-0.10260586319218135,-0.7277869372225745,0.9850084052139891,-0.02137382777169705,-0.2768746338605741,-1.0,-0.3958333333333339,0.3023255813953494,1.0,-0.6721536351165981,-0.6661926323693373,133,1
1,18,34.9996,0.8404,100.0,-0.8794624677616412,-0.6344618772364417,-0.34216443180278944,-0.46156067972849346,-0.7068160597572362,-0.7119496855345911,-0.7280798052598922,0.30032515518770175,-0.42929843102186815,-0.513513513513514,-0.06351791530944606,-0.7280913126188967,0.9847879405847806,-0.02713381253867908,-0.2631810193321611,-1.0,-0.35416666666666696,0.3023255813953494,1.0,-0.6700960219478739,-0.6635759630480785,131,1
1,42,35.0029,0.84,100.0,-0.8794624677616412,-0.6364804110468825,-0.342218610321007,-0.45756510855437327,-0.7068160597572362,-0.7119496855345911,-0.7227817287957616,0.3002829272412484,-0.43042029103325063,-0.513513513513514,-0.07654723127035812,-0.7279898541534559,0.9847879405847806,-0.00585519112676991,-0.2375512595196252,-1.0,-0.35416666666666696,0.3023255813953494,1.0,-0.6927297668038409,-0.674224669503288,107,1
1,45,35.0033,0.84,100.0,-0.8794624677616412,-0.637581429488943,-0.3146959230665036,-0.49323641265103735,-0.7068160597572362,-0.7119496855345911,-0.725025058469763,0.30015624340188296,-0.42638809852857484,-0.513513513513514,-0.07491856677524389,-0.7283449587824985,0.9848981728993831,-0.031037273289854284,-0.2516110134739309,-1.0,-0.35416666666666696,0.3023255813953494,1.0,-0.681755829903978,-0.6570911738606112,104,1
1,50,35.0059,0.8401,100.0,-0.8794624677616412,-0.644738049362326,-0.3187051334146007,-0.5032494102922058,-0.7068160597572362,-0.7119496855345911,-0.7214452770750801,0.30032515518770175,-0.43157466872611927,-0.513513513513514,-0.07166123778501543,-0.726721623335447,0.9850635213712895,-0.019612510115678106,-0.2802431165787933,-1.0,-0.35416666666666696,0.3023255813953494,1.0,-0.6796982167352538,-0.6606407426790145,99,1
1,58,35.0031,0.84,100.0,-0.8794624677616412,-0.6320763372786473,-0.3104158201273197,-0.4734511144273812,-0.7068160597572362,-0.7119496855345911,-0.7282229965156796,0.3001984713483381,-0.4330217055523935,-0.513513513513514,-0.050488599348533114,-0.7296639188332277,0.984953289056687,-0.009425429618701742,-0.2797305213825423,-1.0,-0.35416666666666696,0.3023255813953494,1.0,-0.6879286694101509,-0.6754192359325583,91,1
1,64,35.0052,0.8406,100.0,-0.8794624677616412,-0.629690797320853,-0.3745631856968705,-0.48866316853608005,-0.7068160597572362,-0.7119496855345911,-0.7280320748412965,0.30045183902706896,-0.42290870660921875,-0.513513513513514,-0.02768729641693657,-0.7247939124920736,0.985173753685892,-0.012329223592132621,-0.2735793790275336,-1.0,-0.35416666666666696,0.3023255813953494,1.0,-0.6858710562414266,-0.6734055382375027,85,1
1,66,35.0053,0.84,100.0,-0.8794624677616412,-0.6326268464996794,-0.30803196532574795,-0.49362152794492786,-0.7068160597572362,-0.7119496855345911,-0.7248341367953799,0.30024069929479325,-0.42141289326070996,-0.513513513513514,-0.0195439739413672,-0.7267723525681675,0.9848981728993831,-0.01509020802589589,-0.26962507322788465,-1.0,-0.35416666666666696,0.3023255813953494,1.0,-0.6748971193415637,-0.6723247400395914,83,1
1,88,35.0043,0.8416,100.0,-0.8794624677616412,-0.631342324983942,-0.3262359474468379,-0.5112405526404462,-0.7068160597572362,-0.7119496855345911,-0.7269820056321895,0.30024069929479325,-0.4253963092431512,-0.513513513513514,-0.043973941368077085,-0.7278883956880153,0.9851186375285916,-0.030799257390391688,-0.2330843585237261,-1.0,-0.3333333333333339,0.3023255813953494,1.0,-0.6961591220850482,-0.672484015563494,61,1
1,95,35.0058,0.8403,100.0,-0.8794624677616412,-0.6309753188365903,-0.31821752675064374,-0.45737255090742757,-0.7068160597572362,-0.7119496855345911,-0.7276025010739345,0.3000717875089727,-0.4248272498170884,-0.513513513513514,-0.0602605863192176,-0.729866835764109,0.9850084052139891,0.00152330175655635,-0.24633860574106592,-1.0,-0.3333333333333339,0.3023255813953494,1.0,-0.6831275720164608,-0.6744977132585496,54,1
1,102,35.0063,0.84,100.0,-0.8794624677616412,-0.6262042389210016,-0.27980495733441657,-0.4437972367977663,-0.7068160597572362,-0.7119496855345911,-0.7260273972602741,0.3001984713483381,-0.4189252906267775,-0.513513513513514,-0.029315960912051686,-0.7306277742549144,0.9850635213712895,0.0028085876136572097,-0.250292911540714,-1.0,-0.35416666666666696,0.3023255813953494,1.0,-0.6790123456790124,-0.67669344012378,47,1
1,104,35.0078,0.84,100.0,-0.8794624677616412,-0.6190476190476186,-0.35516727617499644,-0.49126269676984524,-0.7068160597572362,-0.7119496855345911,-0.7249773280511672,0.30032515518770175,-0.427867653036337,-0.513513513513514,-0.039087947882735286,-0.7270767279644896,0.9850635213712895,-0.00747369924311414,-0.24589923842999362,-1.0,-0.3333333333333339,0.3023255813953494,1.0,-0.6824417009602194,-0.6682518373569365,45,1
1,107,35.0037,0.8411,100.0,-0.8794624677616412,-0.6271217542893837,-0.3391846133008256,-0.44427863091512965,-0.7068160597572362,-0.7119496855345911,-0.7283184573528712,0.3002829272412484,-0.41663279408178155,-0.513513513513514,-0.043973941368077085,-0.7265694356372859,0.9852288698431941,0.030989670109960343,-0.23249853544229548,-1.0,-0.29166666666666696,0.3023255813953494,1.0,-0.6796982167352538,-0.6602653075155293,42,1
1,114,35.0026,0.84,100.0,-0.8794624677616412,-0.6230846866685003,-0.34687796288771544,-0.45737255090742757,-0.7068160597572362,-0.7119496855345911,-0.7261228580974656,0.3004940669735223,-0.42207950573124187,-0.513513513513514,-0.014657980456025399,-0.728852251109702,0.985394218315097,-0.004046270290857024,-0.27130931458699425,-1.0,-0.3333333333333339,0.3023255813953494,1.0,-0.6844993141289438,-0.6848506223122256,35,1
1,118,35.003,0.84,100.0,-0.8794624677616412,-0.628773281952471,-0.29762968982798377,-0.4384056226832902,-0.7068160597572362,-0.7119496855345911,-0.7253114409813376,0.30024069929479325,-0.41786846597837446,-0.513513513513514,-0.026058631921823228,-0.727279644895371,0.9850635213712895,-0.038891797972105735,-0.22978910369068561,-1.0,-0.3333333333333339,0.3023255813953494,1.0,-0.6810699588477366,-0.6685135042890623,31,1
1,120,34.9991,0.8409,100.0,-0.8794624677616412,-0.6245527112579126,-0.31778409860490253,-0.4192461368122071,-0.7068160597572362,-0.7119496855345911,-0.7285093790272541,0.30024069929479325,-0.42037232745305353,-0.513513513513514,0.011400651465798717,-0.7298161065313887,0.9855044506297013,0.0017137144761250056,-0.23901581722319865,-1.0,-0.3333333333333339,0.3023255813953494,1.0,-0.6838134430727024,-0.6784796013561173,29,1
1,134,35.0067,0.8403,100.0,-0.8794624677616412,-0.6107899807321768,-0.3271028037383177,-0.4541472103210893,-0.7068160597572362,-0.7119496855345911,-0.7275070402367431,0.30040961108061204,-0.4205349158605003,-0.513513513513514,0.021172638436483204,-0.72712745719721,0.984953289056687,0.0028085876136572097,-0.21917106033977785,-1.0,-0.3333333333333339,0.3023255813953494,1.0,-0.6748971193415637,-0.688855264056065,15,1
